unit_code,timestamp,power,emissions
ADPBA1,2026-05-01 00:00:00+10:00,-0.011,0.0
ADPBA1L,2026-05-01 00:00:00+10:00,0.011,0.0
ADPPV1,2026-05-01 00:00:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:00:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:00:00+10:00,99.5,0.0
BARCALDN,2026-05-01 00:00:00+10:00,0.0,0.0
BDL01,2026-05-01 00:00:00+10:00,0.0,0.0
BDL02,2026-05-01 00:00:00+10:00,0.0,0.0
BW01,2026-05-01 00:00:00+10:00,482.3194,35.9391
BW02,2026-05-01 00:00:00+10:00,494.5022,36.7475
BW03,2026-05-01 00:00:00+10:00,558.9807,41.5662
BW04,2026-05-01 00:00:00+10:00,496.5041,36.8709
ADPBA1,2026-05-01 00:05:00+10:00,-0.021,0.0
ADPBA1L,2026-05-01 00:05:00+10:00,0.021,0.0
ADPPV1,2026-05-01 00:05:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:05:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:05:00+10:00,96.4,0.0
BARCALDN,2026-05-01 00:05:00+10:00,0.0,0.0
BDL01,2026-05-01 00:05:00+10:00,0.0,0.0
BDL02,2026-05-01 00:05:00+10:00,0.0,0.0
BW01,2026-05-01 00:05:00+10:00,484.6387,35.9346
BW02,2026-05-01 00:05:00+10:00,494.7707,36.7639
BW03,2026-05-01 00:05:00+10:00,557.8576,41.5045
BW04,2026-05-01 00:05:00+10:00,495.7717,36.8754
ADPBA1,2026-05-01 00:10:00+10:00,0.106,0.0
ADPBA1G,2026-05-01 00:10:00+10:00,0.106,0.0
ADPPV1,2026-05-01 00:10:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:10:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:10:00+10:00,96.8,0.0
BARCALDN,2026-05-01 00:10:00+10:00,0.0,0.0
BDL01,2026-05-01 00:10:00+10:00,0.0,0.0
BDL02,2026-05-01 00:10:00+10:00,0.0,0.0
BW01,2026-05-01 00:10:00+10:00,487.2999,36.1196
BW02,2026-05-01 00:10:00+10:00,498.7503,36.9217
BW03,2026-05-01 00:10:00+10:00,543.9902,40.9474
BW04,2026-05-01 00:10:00+10:00,499.6292,36.9916
ADPBA1,2026-05-01 00:15:00+10:00,-0.006,0.0
ADPBA1L,2026-05-01 00:15:00+10:00,0.006,0.0
ADPPV1,2026-05-01 00:15:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:15:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:15:00+10:00,96.3,0.0
BARCALDN,2026-05-01 00:15:00+10:00,0.0,0.0
BDL01,2026-05-01 00:15:00+10:00,0.0,0.0
BDL02,2026-05-01 00:15:00+10:00,0.0,0.0
BW01,2026-05-01 00:15:00+10:00,483.3448,36.0716
BW02,2026-05-01 00:15:00+10:00,493.6965,36.8818
BW03,2026-05-01 00:15:00+10:00,527.4373,39.8169
BW04,2026-05-01 00:15:00+10:00,494.6731,36.9508
ADPBA1,2026-05-01 00:20:00+10:00,-0.037,0.0
ADPBA1L,2026-05-01 00:20:00+10:00,0.037,0.0
ADPPV1,2026-05-01 00:20:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:20:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:20:00+10:00,97.5,0.0
BARCALDN,2026-05-01 00:20:00+10:00,0.0,0.0
BDL01,2026-05-01 00:20:00+10:00,0.0,0.0
BDL02,2026-05-01 00:20:00+10:00,0.0,0.0
BW01,2026-05-01 00:20:00+10:00,480.8789,35.833
BW02,2026-05-01 00:20:00+10:00,495.3323,36.7548
BW03,2026-05-01 00:20:00+10:00,528.2429,39.2317
BW04,2026-05-01 00:20:00+10:00,493.5989,36.7267
ADPBA1,2026-05-01 00:25:00+10:00,0.007,0.0
ADPBA1G,2026-05-01 00:25:00+10:00,0.007,0.0
ADPPV1,2026-05-01 00:25:00+10:00,0.0,0.0
ANGAST1,2026-05-01 00:25:00+10:00,0.0,0.0
ARWF1,2026-05-01 00:25:00+10:00,96.8,0.0
BARCALDN,2026-05-01 00:25:00+10:00,0.0,0.0
BDL01,2026-05-01 00:25:00+10:00,0.0,0.0
BDL02,2026-05-01 00:25:00+10:00,0.0,0.0
BW01,2026-05-01 00:25:00+10:00,485.3224,35.9065
BW02,2026-05-01 00:25:00+10:00,495.552,36.8237
BW03,2026-05-01 00:25:00+10:00,531.8563,39.3959
BW04,2026-05-01 00:25:00+10:00,496.4797,36.7938
ADPBA1,2026-05-01 00:30:00+10:00,-0.029,0.0
ADPBA1L,2026-05-01 00:30:00+10:00,0.029,0.0
