region,timestamp,price,demand
NSW1,2026-05-01 00:00:00+10:00,57.51,7332.5
QLD1,2026-05-01 00:00:00+10:00,64.65,6165.2
SA1,2026-05-01 00:00:00+10:00,-2.01,1507.69
TAS1,2026-05-01 00:00:00+10:00,78.95,944.41
VIC1,2026-05-01 00:00:00+10:00,4.55,4568.84
NSW1,2026-05-01 00:05:00+10:00,57.51,7323.78
QLD1,2026-05-01 00:05:00+10:00,58.06,6110.22
SA1,2026-05-01 00:05:00+10:00,-3.0,1519.91
TAS1,2026-05-01 00:05:00+10:00,83.22,941.79
VIC1,2026-05-01 00:05:00+10:00,7.95,4510.93
NSW1,2026-05-01 00:10:00+10:00,65.89,7441.25
QLD1,2026-05-01 00:10:00+10:00,64.83,6127.82
SA1,2026-05-01 00:10:00+10:00,-2.01,1520.0
TAS1,2026-05-01 00:10:00+10:00,78.97,932.25
VIC1,2026-05-01 00:10:00+10:00,4.55,4537.89
NSW1,2026-05-01 00:15:00+10:00,65.22,7417.92
QLD1,2026-05-01 00:15:00+10:00,64.65,6074.19
SA1,2026-05-01 00:15:00+10:00,-2.01,1504.06
TAS1,2026-05-01 00:15:00+10:00,78.97,931.96
VIC1,2026-05-01 00:15:00+10:00,4.55,4518.44
NSW1,2026-05-01 00:20:00+10:00,57.43,7387.76
QLD1,2026-05-01 00:20:00+10:00,55.53,6018.77
SA1,2026-05-01 00:20:00+10:00,-1.78,1551.41
TAS1,2026-05-01 00:20:00+10:00,79.7,930.4
VIC1,2026-05-01 00:20:00+10:00,4.55,4487.46
NSW1,2026-05-01 00:25:00+10:00,57.51,7462.48
QLD1,2026-05-01 00:25:00+10:00,55.61,6003.21
SA1,2026-05-01 00:25:00+10:00,-4.0,1551.56
TAS1,2026-05-01 00:25:00+10:00,79.7,929.39
VIC1,2026-05-01 00:25:00+10:00,4.55,4413.79
NSW1,2026-05-01 00:30:00+10:00,56.06,7339.04
QLD1,2026-05-01 00:30:00+10:00,53.93,5974.99
SA1,2026-05-01 00:30:00+10:00,-3.0,1558.05
TAS1,2026-05-01 00:30:00+10:00,79.7,928.61
VIC1,2026-05-01 00:30:00+10:00,4.55,4456.21
NSW1,2026-05-01 00:35:00+10:00,56.06,7232.4
QLD1,2026-05-01 00:35:00+10:00,53.93,5980.24
SA1,2026-05-01 00:35:00+10:00,-4.0,1553.46
TAS1,2026-05-01 00:35:00+10:00,88.08,934.22
VIC1,2026-05-01 00:35:00+10:00,1.67,4427.93
NSW1,2026-05-01 00:40:00+10:00,57.51,7254.02
QLD1,2026-05-01 00:40:00+10:00,55.65,5995.47
SA1,2026-05-01 00:40:00+10:00,-3.0,1564.35
TAS1,2026-05-01 00:40:00+10:00,88.08,931.48
VIC1,2026-05-01 00:40:00+10:00,1.67,4371.84
NSW1,2026-05-01 00:45:00+10:00,57.51,7201.47
QLD1,2026-05-01 00:45:00+10:00,56.68,5950.89
SA1,2026-05-01 00:45:00+10:00,-5.15,1559.07
TAS1,2026-05-01 00:45:00+10:00,76.73,933.32
VIC1,2026-05-01 00:45:00+10:00,1.67,4320.43
NSW1,2026-05-01 00:50:00+10:00,56.06,7196.89
QLD1,2026-05-01 00:50:00+10:00,53.34,5904.42
SA1,2026-05-01 00:50:00+10:00,-3.0,1552.69
TAS1,2026-05-01 00:50:00+10:00,74.24,927.94
